species,island,bill_length_mm,flipper_length_mm,body_mass_g,sex,,bill_depth_mm
Adelie,Torgersen,39.1,181,3750,male,0,18.7
Adelie,Torgersen,39.5,186,3800,female,1,17.4
Adelie,Torgersen,40.3,195,3250,female,2,18
Adelie,Torgersen,36.7,193,3450,female,3,19.3
Adelie,Torgersen,39.3,190,3650,male,4,20.6
Adelie,Torgersen,38.9,181,3625,female,5,17.8
Adelie,Torgersen,39.2,195,4675,male,6,19.6
Adelie,Torgersen,41.1,182,3200,female,7,17.6
Adelie,Torgersen,38.6,191,3800,male,8,21.2
Adelie,Torgersen,34.6,198,4400,male,9,21.1
Adelie,Torgersen,36.6,185,3700,female,10,17.8
Adelie,Torgersen,38.7,195,3450,female,11,19
Adelie,Torgersen,42.5,197,4500,male,12,20.7
Adelie,Torgersen,34.4,184,3325,female,13,18.4
Adelie,Torgersen,46,194,4200,male,14,21.5
Adelie,Biscoe,37.8,174,3400,female,15,18.3
Adelie,Biscoe,37.7,180,3600,male,16,18.7
Adelie,Biscoe,35.9,189,3800,female,17,19.2
Adelie,Biscoe,38.2,185,3950,male,18,18.1
Adelie,Biscoe,38.8,180,3800,male,19,17.2
Adelie,Biscoe,35.3,187,3800,female,20,18.9
Adelie,Biscoe,40.6,183,3550,male,21,18.6
Adelie,Biscoe,40.5,187,3200,female,22,17.9
Adelie,Biscoe,37.9,172,3150,female,23,18.6
Adelie,Biscoe,40.5,180,3950,male,24,18.9
Adelie,Dream,39.5,178,3250,female,25,16.7
Adelie,Dream,37.2,178,3900,male,26,18.1
Adelie,Dream,39.5,188,3300,female,27,17.8
Adelie,Dream,40.9,184,3900,male,28,18.9
Adelie,Dream,36.4,195,3325,female,29,17
Adelie,Dream,39.2,196,4150,male,30,21.1
Adelie,Dream,38.8,190,3950,male,31,20
Adelie,Dream,42.2,180,3550,female,32,18.5
Adelie,Dream,37.6,181,3300,female,33,19.3
Adelie,Dream,39.8,184,4650,male,34,19.1
Adelie,Dream,36.5,182,3150,female,35,18
Adelie,Dream,40.8,195,3900,male,36,18.4
Adelie,Dream,36,186,3100,female,37,18.5
Adelie,Dream,44.1,196,4400,male,38,19.7
Adelie,Dream,37,185,3000,female,39,16.9
Adelie,Dream,39.6,190,4600,male,40,18.8
Adelie,Dream,41.1,182,3425,male,41,19
Adelie,Dream,36,190,3450,female,42,17.9
Adelie,Dream,42.3,191,4150,male,43,21.2
Adelie,Biscoe,39.6,186,3500,female,44,17.7
Adelie,Biscoe,40.1,188,4300,male,45,18.9
Adelie,Biscoe,35,190,3450,female,46,17.9
Adelie,Biscoe,42,200,4050,male,47,19.5
Adelie,Biscoe,34.5,187,2900,female,48,18.1
Adelie,Biscoe,41.4,191,3700,male,49,18.6
Adelie,Biscoe,39,186,3550,female,50,17.5
Adelie,Biscoe,40.6,193,3800,male,51,18.8
Adelie,Biscoe,36.5,181,2850,female,52,16.6
Adelie,Biscoe,37.6,194,3750,male,53,19.1
Adelie,Biscoe,35.7,185,3150,female,54,16.9
Adelie,Biscoe,41.3,195,4400,male,55,21.1
Adelie,Biscoe,37.6,185,3600,female,56,17
Adelie,Biscoe,41.1,192,4050,male,57,18.2
Adelie,Biscoe,36.4,184,2850,female,58,17.1
